               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.062804,            0.015696,            0.034368,             0.48983,                 0.9,             0.56195,             0.18255,             0.04207,           0.0099888,            0.024818,            0.031951,           0.0069505,           0.0069505
                  38,            0.056131,            0.015845,            0.032383,             0.28689,                0.65,             0.35079,             0.11338,            0.055295,            0.010362,            0.024409,            0.030121,           0.0071207,           0.0071207
                  39,            0.074059,            0.014675,            0.032146,             0.28689,                0.65,             0.35079,             0.11338,            0.055295,            0.010362,            0.024409,             0.02829,             0.00729,             0.00729
                  40,            0.067082,            0.013637,            0.033897,             0.44661,                 0.9,             0.51913,             0.23172,            0.044268,           0.0095335,            0.023599,            0.026458,           0.0074585,           0.0074585
                  41,            0.064681,             0.01853,            0.033914,             0.31732,                0.85,             0.33239,             0.10345,              0.0523,           0.0096915,            0.023729,            0.024626,           0.0076262,           0.0076262
                  42,            0.067232,            0.014976,            0.032359,             0.31732,                0.85,             0.33239,             0.10345,              0.0523,           0.0096915,            0.023729,            0.022793,           0.0077931,           0.0077931
                  43,            0.071936,            0.015951,             0.03323,             0.30568,             0.72509,             0.37231,             0.16721,            0.037265,            0.010281,            0.023093,            0.020959,           0.0079593,           0.0079593
                  44,            0.052072,            0.014661,            0.031903,             0.30568,             0.72509,             0.37231,             0.16721,            0.037265,            0.010281,            0.023093,            0.019125,           0.0081246,           0.0081246
                  45,            0.068602,            0.015748,            0.032357,             0.29278,                0.85,             0.39339,             0.24207,            0.046911,           0.0088519,            0.023132,            0.017289,           0.0082892,           0.0082892
                  46,            0.065951,            0.021919,            0.032755,             0.29278,                0.85,             0.39339,             0.24207,            0.046911,           0.0088519,            0.023132,            0.015453,            0.008453,            0.008453
                  47,            0.067641,            0.014693,            0.033169,             0.61461,             0.96078,             0.71028,             0.26894,            0.039227,           0.0093406,            0.023145,            0.013616,           0.0086159,           0.0086159
                  48,            0.063942,            0.014541,            0.032588,             0.61461,             0.96078,             0.71028,             0.26894,            0.039227,           0.0093406,            0.023145,            0.011778,           0.0087781,           0.0087781
                  49,             0.06854,            0.017101,            0.031551,             0.65364,                0.85,             0.77666,             0.52458,            0.041395,           0.0088542,            0.023301,           0.0099395,           0.0089395,           0.0089395
                  50,            0.070892,              0.0137,            0.032479,             0.65364,                0.85,             0.77666,             0.52458,            0.041395,           0.0088542,            0.023301,             0.00901,             0.00901,             0.00901
                  51,            0.068273,            0.019013,            0.032349,             0.27384,                   1,             0.45224,             0.18484,            0.044409,           0.0092355,            0.023132,             0.00901,             0.00901,             0.00901
                  52,            0.057338,             0.01606,             0.03121,             0.27384,                   1,             0.45224,             0.18484,            0.044409,           0.0092355,            0.023132,           0.0089902,           0.0089902,           0.0089902
                  53,            0.062743,            0.015411,            0.032088,             0.39014,             0.69879,             0.50657,             0.13791,            0.046839,           0.0081839,            0.022736,           0.0089704,           0.0089704,           0.0089704
                  54,            0.066354,            0.015745,            0.033234,             0.39014,             0.69879,             0.50657,             0.13791,            0.046839,           0.0081839,            0.022736,           0.0089506,           0.0089506,           0.0089506
                  55,            0.068471,            0.012587,            0.031917,             0.70287,             0.77243,             0.65826,             0.34521,             0.03724,           0.0075579,             0.02212,           0.0089308,           0.0089308,           0.0089308
                  56,            0.049766,            0.014807,            0.033456,             0.70287,             0.77243,             0.65826,             0.34521,             0.03724,           0.0075579,             0.02212,            0.008911,            0.008911,            0.008911
                  57,            0.046544,             0.01475,            0.029898,             0.54348,                 0.8,             0.64808,             0.29491,            0.051691,           0.0081086,            0.022626,           0.0088912,           0.0088912,           0.0088912
                  58,            0.064747,            0.018314,            0.032342,             0.54348,                 0.8,             0.64808,             0.29491,            0.051691,           0.0081086,            0.022626,           0.0088714,           0.0088714,           0.0088714
                  59,            0.063338,            0.014863,            0.030597,             0.57983,                0.85,             0.65457,             0.27117,            0.043268,           0.0077282,            0.021932,           0.0088516,           0.0088516,           0.0088516
                  60,            0.061297,            0.013868,             0.03179,             0.57983,                0.85,             0.65457,             0.27117,            0.043268,           0.0077282,            0.021932,           0.0088318,           0.0088318,           0.0088318
                  61,            0.067043,            0.015135,            0.031022,             0.41961,                0.75,             0.62388,             0.43834,            0.034987,           0.0088999,            0.021614,            0.008812,            0.008812,            0.008812
                  62,            0.058743,            0.013201,            0.031274,             0.41961,                0.75,             0.62388,             0.43834,            0.034987,           0.0088999,            0.021614,           0.0087922,           0.0087922,           0.0087922
                  63,            0.065555,            0.013142,            0.030146,             0.36159,                0.55,             0.60779,             0.26042,            0.033252,           0.0090414,            0.021413,           0.0087724,           0.0087724,           0.0087724
                  64,            0.052185,            0.013885,            0.031239,             0.36159,                0.55,             0.60779,             0.26042,            0.033252,           0.0090414,            0.021413,           0.0087526,           0.0087526,           0.0087526
                  65,            0.054895,            0.015382,            0.033169,             0.34036,                 0.9,             0.61025,             0.38821,            0.037982,           0.0090384,            0.021258,           0.0087328,           0.0087328,           0.0087328
                  66,            0.050365,            0.015425,            0.032637,             0.34036,                 0.9,             0.61025,             0.38821,            0.037982,           0.0090384,            0.021258,            0.008713,            0.008713,            0.008713
                  67,            0.051225,             0.01418,            0.028243,             0.28718,                   1,             0.61632,             0.27201,             0.03674,           0.0097523,            0.021109,           0.0086932,           0.0086932,           0.0086932
                  68,            0.047079,            0.014732,            0.032482,             0.28718,                   1,             0.61632,             0.27201,             0.03674,           0.0097523,            0.021109,           0.0086734,           0.0086734,           0.0086734
                  69,            0.047859,            0.013678,            0.031516,             0.38211,                   1,              0.6825,             0.43803,            0.037968,           0.0089082,            0.021193,           0.0086536,           0.0086536,           0.0086536
                  70,            0.045794,            0.015342,             0.03133,             0.38211,                   1,              0.6825,             0.43803,            0.037968,           0.0089082,            0.021193,           0.0086338,           0.0086338,           0.0086338
                  71,            0.046888,            0.014234,            0.031829,             0.32609,             0.85966,             0.73214,             0.25152,             0.03424,           0.0098794,            0.021115,            0.008614,            0.008614,            0.008614
                  72,            0.049728,            0.016504,            0.031966,             0.32609,             0.85966,             0.73214,             0.25152,             0.03424,           0.0098794,            0.021115,           0.0085942,           0.0085942,           0.0085942
                  73,            0.046251,            0.012459,            0.034609,             0.49316,                   1,             0.72136,             0.30076,            0.036699,           0.0085289,            0.020966,           0.0085744,           0.0085744,           0.0085744
                  74,            0.040342,            0.013985,            0.031749,             0.49316,                   1,             0.72136,             0.30076,            0.036699,           0.0085289,            0.020966,           0.0085546,           0.0085546,           0.0085546
                  75,            0.048997,            0.018469,            0.031713,             0.31591,                   1,             0.43242,             0.21555,            0.030369,           0.0092956,            0.020966,           0.0085348,           0.0085348,           0.0085348
                  76,            0.044244,            0.013259,            0.028871,             0.31591,                   1,             0.43242,             0.21555,            0.030369,           0.0092956,            0.020966,            0.008515,            0.008515,            0.008515
                  77,            0.045657,            0.015818,            0.031756,             0.48758,                   1,             0.68017,             0.45881,             0.02853,           0.0089937,            0.021044,           0.0084952,           0.0084952,           0.0084952
                  78,            0.050469,            0.013526,            0.028932,             0.48758,                   1,             0.68017,             0.45881,             0.02853,           0.0089937,            0.021044,           0.0084754,           0.0084754,           0.0084754
                  79,            0.042946,            0.011743,            0.025979,             0.32115,                 0.9,             0.61113,             0.16993,            0.036905,           0.0086977,            0.020901,           0.0084556,           0.0084556,           0.0084556
                  80,            0.044099,            0.011251,            0.029824,             0.32115,                 0.9,             0.61113,             0.16993,            0.036905,           0.0086977,            0.020901,           0.0084358,           0.0084358,           0.0084358
                  81,            0.045908,            0.013925,            0.030339,             0.43425,                 0.9,             0.65033,             0.31425,            0.028142,           0.0086766,            0.020875,            0.008416,            0.008416,            0.008416
                  82,            0.047622,            0.010953,            0.032823,             0.43425,                 0.9,             0.65033,             0.31425,            0.028142,           0.0086766,            0.020875,           0.0083962,           0.0083962,           0.0083962
                  83,            0.038561,            0.011624,            0.025452,             0.43904,                 0.9,             0.66198,             0.41773,            0.037235,           0.0083863,            0.020648,           0.0083764,           0.0083764,           0.0083764
